block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
174;measure_opti_parallel;driver_opti.c:22-23;12.35259437561;0.30202099680901;0.20499999821186;0.26187497377396;0.3299999833107;1.6268736124039;0.038353379815817;8;;
188;measure_opti_parallel;driver_opti.c:22-22;1.8867923021317;0.046132080256939;0.014999997802079;0.03999999910593;0.065000005066395;0.77378988265991;0.016690460965037;8;;
189;measure_opti_parallel;driver_opti.c:25-25;0.94339615106583;0.023066040128469;0.0099999997764826;0.019999999552965;0.034999996423721;0.35518169403076;0.0070710671134293;8;;
178;measure_opti_parallel;driver_opti.c:22-23;0.20636790990829;0.0050456961616874;0.00499999942258;0.011666666716337;0.019999999552965;0.36479607224464;0.0076376260258257;3;;
161;measure_opti_parallel;driver_opti.c:19-19;0.17688676714897;0.0043248822912574;0.00499999942258;0.0074999993667006;0.0099999997764826;0.096444353461266;0.0028867512010038;4;;
173;measure_opti_parallel;driver_opti.c:21-22;0.17688676714897;0.0043248822912574;0.0049999998882413;0.0099999997764826;0.014999998733401;0.29055711627007;0.00499999942258;3;;
176;measure_opti_parallel;driver_opti.c:22-23;0.17688676714897;0.0043248822912574;0.00499999942258;0.0059999995864928;0.0099999997764826;0.11079598218203;0.0022360680159181;5;;
167;measure_opti_parallel;driver_opti.c:19-19;0.029481129720807;0.00072081375401467;0.00499999942258;0.00499999942258;0.00499999942258;0;0;1;;
169;measure_opti_parallel;driver_opti.c:19-19;0.029481129720807;0.00072081375401467;0.0049999998882413;0.0049999998882413;0.0049999998882413;0;0;1;;
170;measure_opti_parallel;driver_opti.c:19-23;0.029481129720807;0.00072081375401467;0.00499999942258;0.00499999942258;0.00499999942258;0;0;1;;
