block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
174;measure_opti_parallel;driver_opti.c:22-23;94.42163848877;31.29132270813;20.179996490479;20.443904876709;20.659994125366;6.1334490776062;0.12547147274017;32;;
176;measure_opti_parallel;driver_opti.c:22-23;0.120515845716;0.039938941597939;0.00999999884516;0.026093747466803;0.059999991208315;0.047524157911539;0.010681183077395;32;;
180;measure_opti_parallel;driver_opti.c:22-23;0.11690757423639;0.038743160665035;0.00999999884516;0.025312496349216;0.049999993294477;0.046391047537327;0.010467883199453;32;;
55;measure_opti_parallel;driver_opti.c:42-42;0.025979463011026;0.0086095919832587;0.17999996244907;0.17999996244907;0.17999996244907;0;0;1;;
54;measure_opti_parallel;driver_opti.c:42-42;0.020927902311087;0.0069355051964521;0.14499998092651;0.14499998092651;0.14499998092651;0;0;1;;
57;measure_opti_parallel;driver_opti.c:42-42;0.017319642007351;0.0057397279888391;0.11999997496605;0.11999997496605;0.11999997496605;0;0;1;;
53;measure_opti_parallel;driver_opti.c:41-42;0.015876337885857;0.0052614170126617;0.10999996960163;0.10999996960163;0.10999996960163;0;0;1;;
59;measure_opti_parallel;driver_opti.c:42-42;0.015154687687755;0.0050222622230649;0.10499998927116;0.10499998927116;0.10499998927116;0;0;1;;
58;measure_opti_parallel;driver_opti.c:42-42;0.014433034695685;0.0047831065021455;0.099999986588955;0.099999986588955;0.099999986588955;0;0;1;;
188;measure_opti_parallel;driver_opti.c:22-22;0.014433034695685;0.0047831065021455;0.00499999942258;0.0071428562514484;0.014999997802079;0.015745030716062;0.0032310304231942;14;;
56;measure_opti_parallel;driver_opti.c:42-42;0.012989731505513;0.0043047959916294;0.089999981224537;0.089999981224537;0.089999981224537;0;0;1;;
60;measure_opti_parallel;driver_opti.c:41-42;0.012989731505513;0.0043047959916294;0.089999981224537;0.089999981224537;0.089999981224537;0;0;1;;
189;measure_opti_parallel;driver_opti.c:25-25;0.010103124193847;0.0033481745049357;0.00499999942258;0.0053846146911383;0.00999999884516;0.006527183111757;0.001386750373058;13;;
161;measure_opti_parallel;driver_opti.c:19-19;0.0057732141576707;0.0019132426241413;0.00499999942258;0.0057142851874232;0.00999999884516;0.0088943364098668;0.0018898221896961;7;;
162;measure_opti_parallel;driver_opti.c:19-19;0.0028866070788354;0.00095662131207064;0.00499999942258;0.00499999942258;0.00499999942258;0.0042016436345875;0;4;;
182;measure_opti_parallel;driver_opti.c:22-23;0.0021649552509189;0.00071746599860489;0.00499999942258;0.00499999942258;0.0049999998882413;2.7612786652753e-05;3.2927224835611e-10;3;;
173;measure_opti_parallel;driver_opti.c:21-22;0.0014433035394177;0.00047831065603532;0.00499999942258;0.0049999998882413;0.0049999998882413;7.8261427916004e-06;4.6566128730774e-10;2;;
