Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;520648;2.4700014591217;0;126.87254333496;0;1740342726;0.074041150289388;0.007404114880854;648103;0;95.461255279425;4.457277002785;13506.003298056;0;0;1740342599;0;0;
otapie;_ALL;_ALL;0;520648;2.4700014591217;0;126.87254333496;0;1740342726;0.074041150289388;0.007404114880854;648103;0;95.461255279425;4.457277002785;13506.003298056;0;0;1740342599;0;0;
otapie;56852;_ALL;0;520648;2.4700014591217;0;126.87254333496;0;1740342726;0.074041150289388;0.007404114880854;648103;0;95.461255279425;4.457277002785;13506.003298056;0;0;1740342599;0;0;
otapie;56852;56913;122.91398620605;520871;2.065000295639;0;126.82258605957;0;1740342726;0;0;698288;0;96.852286784828;3.1476994619137;413.0000706012;46.180946350098;0;1740342599;0;0;
otapie;56852;56914;119.89601898193;520922;2.1250002384186;0;126.82259368896;0;1740342726;0;0;698329;0;95.999987997916;3.9999992018689;425.00006980119;21.277919769287;0;1740342599;0;0;
otapie;56852;56890;121.85960388184;520892;2.0700001716614;0;126.82360839844;0;1740342726;0;0;697282;0;94.685983240096;5.3140089336851;414.00004920084;45.815979003906;0;1740342599;0;0;
otapie;56852;56915;125.91302490234;521068;2.0900003910065;0;126.82270050049;0;1740342726;0;0;698370;0;95.693755082573;4.3062188882837;418.00011720199;16.811122894287;0;1740342599;0;0;
otapie;56852;56912;125.49385070801;522537;2.1250004768372;0;126.82429504395;0;1740342726;0;0;698244;0;96.705858678635;3.2941166150693;425.00012100206;34.133899688721;0;1740342599;0;0;
otapie;56852;56852;123.79202270508;520648;2.4700014591217;0;126.87254333496;0;1740342726;2.0242901697893;0.20242901293028;648103;0;93.117347162525;4.65586725691;494.00033400568;30.141477584839;0;1740342599;0;0;
otapie;56852;56891;117.06884765625;520710;2.07000041008;0;126.823387146;0;1740342726;0;0;697326;0;94.444425598181;5.5555535802138;414.00010040171;39.149997711182;0;1740342599;0;0;
otapie;56852;56885;123.26200866699;520721;2.1550004482269;0;126.82366943359;0;1740342726;0;0;697049;0;93.503454856838;6.4965177181097;431.00012060205;38.281566619873;0;1740342599;0;0;
otapie;56852;56911;115.93003082275;520763;2.2350006103516;0;126.82256317139;0;1740342726;0;0;698200;0;95.078271123245;4.9216982722174;447.00013660232;36.900177001953;0;1740342599;0;0;
otapie;56852;56902;122.05005645752;520838;2.2400002479553;0;126.82302856445;0;1740342726;0;0;697809;0;96.651772365847;3.348213749991;448.00008960152;28.347806930542;0;1740342599;0;0;
otapie;56852;56892;116.03002929688;520774;1.9900004863739;0;126.82340240479;0;1740342726;0;0;697373;0;96.482390921593;3.5175868669804;398.00011000187;38.034580230713;0;1740342599;0;0;
otapie;56852;56887;112.39199829102;520807;2.1800003051758;0;126.8236618042;0;1740342726;0;0;697144;0;96.55961447448;3.4403663967583;436.00009040154;41.984027862549;0;1740342599;0;0;
otapie;56852;56910;103.06385803223;521133;2.0000004768372;0;126.82297515869;0;1740342726;0;0;698157;0;94.499979375654;5.4999982239702;400.00009280158;26.383495330811;0;1740342599;0;0;
otapie;56852;56888;111.2607421875;520800;1.9350003004074;0;126.82360839844;0;1740342726;0;0;697190;0;97.416003784878;2.5839790055298;387.00006380108;51.313873291016;0;1740342599;0;0;
otapie;56852;56893;101.44766235352;520741;1.9500004053116;0;126.82331848145;0;1740342726;0;0;697423;0;95.641003037097;4.3589734753304;390.00010200173;30.58815574646;0;1740342599;0;0;
otapie;56852;56889;114.0110168457;520688;2.2950005531311;0;126.82344818115;0;1740342726;0;0;697237;0;96.078411530276;3.9215675543415;459.00013580231;34.945499420166;0;1740342599;0;0;
otapie;56852;56898;124.07486724854;521706;1.9700003862381;0;126.8240737915;0;1740342726;0;0;697635;0;94.670028570063;5.3299472163334;394.00009320158;41.66520690918;0;1740342599;0;0;
otapie;56852;56906;117.41595458984;520672;2.2050004005432;0;126.8226852417;0;1740342726;0;0;697985;0;95.918347425276;4.0816313498787;441.00011140189;16.57283782959;0;1740342599;0;0;
