block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
102;measure_opti;driver_opti.c:22-23;83.226905822754;61.89998626709;61.89998626709;61.89998626709;61.89998626709;0;0;1;;
71;measure_opti;driver_opti.c:22-23;0.53781527280807;0.39999994635582;0.39999994635582;0.39999994635582;0.39999994635582;0;0;1;;
57;measure_opti;driver_opti.c:42-42;0.20840340852737;0.15499997138977;0.15499995648861;0.15499995648861;0.15499995648861;0;0;1;;
54;measure_opti;driver_opti.c:42-42;0.20168071985245;0.14999997615814;0.14999997615814;0.14999997615814;0.14999997615814;0;0;1;;
53;measure_opti;driver_opti.c:41-42;0.18151263892651;0.1349999755621;0.13499996066093;0.13499996066093;0.13499996066093;0;0;1;;
58;measure_opti;driver_opti.c:42-42;0.17478995025158;0.12999996542931;0.12999996542931;0.12999996542931;0.12999996542931;0;0;1;;
162;measure_opti;driver_opti.c:22-23;0.17478995025158;0.12999996542931;0.12999996542931;0.12999996542931;0.12999996542931;0;0;1;;
55;measure_opti;driver_opti.c:42-42;0.1546218842268;0.11499997973442;0.11499997973442;0.11499997973442;0.11499997973442;0;0;1;;
59;measure_opti;driver_opti.c:42-42;0.11428574472666;0.084999993443489;0.084999985992908;0.084999985992908;0.084999985992908;0;0;1;;
60;measure_opti;driver_opti.c:41-42;0.11428573727608;0.084999978542328;0.084999978542328;0.084999978542328;0.084999978542328;0;0;1;;
104;measure_opti;driver_opti.c:22-23;0.10756304860115;0.07999999076128;0.079999983310699;0.079999983310699;0.079999983310699;0;0;1;;
56;measure_opti;driver_opti.c:42-42;0.094117671251297;0.069999992847443;0.069999992847443;0.069999992847443;0.069999992847443;0;0;1;;
117;measure_opti;driver_opti.c:20-25;0.08739497512579;0.064999982714653;0.064999982714653;0.064999982714653;0.064999982714653;0;0;1;;
116;measure_opti;driver_opti.c:22-22;0.080672286450863;0.059999987483025;0.059999987483025;0.059999987483025;0.059999987483025;0;0;1;;
106;measure_opti;driver_opti.c:22-23;0.013445381075144;0.00999999884516;0.0099999979138374;0.0099999979138374;0.0099999979138374;0;0;1;;
108;measure_opti;driver_opti.c:22-23;0.013445381075144;0.00999999884516;0.0099999979138374;0.0099999979138374;0.0099999979138374;0;0;1;;
101;measure_opti;driver_opti.c:22-22;0.0067226905375719;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;;
110;measure_opti;driver_opti.c:22-23;0.0067226905375719;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;;
152;measure_opti;driver_opti.c:94-94;0.0067226905375719;0.00499999942258;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;;
