Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;205796;74.374969482422;0;75.006385803223;0;1740344424;14.480673229682;0;199407;0;0;85.519357151974;14874.996952352;0;0;1740344349;0;0;
otapie;_ALL;_ALL;0;205796;74.374969482422;0;75.006385803223;0;1740344424;14.480673229682;0;199407;0;0;85.519357151974;14874.996952352;0;0;1740344349;0;0;
otapie;58706;_ALL;0;205796;74.374969482422;0;75.006385803223;0;1740344424;14.480673229682;0;199407;0;0;85.519357151974;14874.996952352;0;0;1740344349;0;0;
otapie;58706;58706;42.966163635254;205796;74.374969482422;0;75.006385803223;0;1740344424;14.480673229682;0;199407;0;0;85.519357151974;14874.996952352;15.372110366821;0;1740344349;0;0;
