function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
332;libgomp.so.1.0.0;gomp_barrier_wait_end;;51.449264526367;1.0649999380112;0;0;0;0;0;51.449264526367;1.0649999380112;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_barrier_wait_end;;
336;libgomp.so.1.0.0;gomp_team_barrier_wait_end;;42.270523071289;0.875;0;0;0;0;0;42.270523071289;0.875;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_team_barrier_wait_end;;
5;measure_opti_parallel;kernel._omp_fn.0;driver_opti.c:19-25;5.5555539131165;0.114999987185;0;0;0;0;0;0;0;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";kernel._omp_fn.0;;
296;libgomp.so.1.0.0;gomp_thread_start;;0.72463750839233;0.014999999664724;0;0;0;0;0;0.72463750839233;0.014999999664724;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_thread_start;;
