Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;354743;33.139991760254;0;34.259300231934;0;1740344346;1.5934072027564;0;95442;0;3.5750625764457;94.831529061781;138571.00036901;0;0;1740344312;0;0;
otapie;_ALL;_ALL;0;354743;33.139991760254;0;34.259300231934;0;1740344346;1.5934072027564;0;95442;0;3.5750625764457;94.831529061781;138571.00036901;0;0;1740344312;0;0;
otapie;58567;_ALL;0;354743;33.139991760254;0;34.259300231934;0;1740344346;1.5934072027564;0;95442;0;3.5750625764457;94.831529061781;138571.00036901;0;0;1740344312;0;0;
otapie;58567;58604;33.850574493408;354753;21.254999160767;0;33.857986450195;0;1740344346;0;0;496768;0;2.6817218219817;97.318275100978;4251.0001994076;0.74759197235107;0;1740344312;0;0;
otapie;58567;58615;33.851177215576;354753;21.299997329712;0;33.857555389404;0;1740344346;0;0;497199;0;4.6948357968922;95.305169916941;4259.9998647948;0.74374902248383;0;1740344312;0;0;
otapie;58567;58605;26.062957763672;354743;21.21000289917;0;33.857940673828;0;1740344346;0;0;496804;0;4.1489853571099;95.85100576938;4242.000943636;0.71788197755814;0;1740344312;0;0;
otapie;58567;58603;24.348596572876;354747;21.259998321533;0;33.858016967773;0;1740344346;0;0;496730;0;3.5983065060613;96.401692294457;4252.0000712027;0.74453699588776;0;1740344312;0;0;
otapie;58567;58622;13.214045524597;354747;21.265001296997;0;33.857238769531;0;1740344346;0;0;497507;0;3.6444856200497;96.355509719533;4253.0007622291;0.74714297056198;0;1740344312;0;0;
otapie;58567;58624;33.848384857178;354754;21.294996261597;0;33.857158660889;0;1740344346;0;0;497594;0;4.5315806264214;95.468423285445;4258.9995833841;0.74646502733231;0;1740344312;0;0;
otapie;58567;58623;11.001724243164;354754;21.2649974823;0;33.857208251953;0;1740344346;0;0;497547;0;3.5739477506952;96.426048049756;4252.9999429978;0.74502897262573;0;1740344312;0;0;
otapie;58567;58625;33.84757232666;354751;21.299997329712;0;33.857116699219;0;1740344346;0;0;497634;0;3.3568076980917;96.643190048301;4259.9998647948;0.69504499435425;0;1740344312;0;0;
otapie;58567;58608;33.849838256836;354753;21.254997253418;0;33.857837677002;0;1740344346;0;0;496915;0;4.1637263832623;95.836277455981;4250.999789792;0.69581097364426;0;1740344312;0;0;
otapie;58567;58626;23.148401260376;354754;21.244998931885;0;33.857078552246;0;1740344346;0;0;497675;0;4.1421505747054;95.857840538159;4249.0004558174;0.74353301525116;0;1740344312;0;0;
otapie;58567;58609;21.644561767578;354744;21.294998168945;0;33.85778427124;0;1740344346;0;0;496958;0;3.1227987654044;96.877207250322;4258.9999929997;0.74502897262573;0;1740344312;0;0;
otapie;58567;58627;23.23045539856;354747;21.269996643066;0;33.857032775879;0;1740344346;0;0;497714;0;4.4663846420274;95.533610101542;4253.9998147929;0.74504101276398;0;1740344312;0;0;
otapie;58567;58610;33.851455688477;354751;21.31499671936;0;33.857749938965;0;1740344346;0;0;497000;0;3.0964109643965;96.903582354607;4262.9998897958;0.74507999420166;0;1740344312;0;0;
otapie;58567;58628;33.850269317627;354753;21.289995193481;0;33.856998443604;0;1740344346;0;0;497755;0;2.9356507624889;97.064350449394;4257.999711589;0.7450670003891;0;1740344312;0;0;
otapie;58567;58611;21.66291809082;354742;21.290000915527;0;33.857704162598;0;1740344346;0;0;497037;0;3.6402062394806;96.359779480971;4258.0005308203;0.74530601501465;0;1740344312;0;0;
otapie;58567;58629;33.849975585938;354753;21.274997711182;0;33.856956481934;0;1740344346;0;0;497795;0;4.2538189966571;95.746177698869;4255.0000962037;0.74411302804947;0;1740344312;0;0;
otapie;58567;58612;33.852210998535;354753;21.309995651245;0;33.857677459717;0;1740344346;0;0;497077;0;3.1675272408366;96.832475161883;4261.999608385;0.74591398239136;0;1740344312;0;0;
otapie;58567;58630;21.647106170654;354743;21.269996643066;0;33.856899261475;0;1740344346;0;0;497845;0;3.7376587663915;96.262338901596;4253.9998147929;0.72208297252655;0;1740344312;0;0;
otapie;58567;58613;18.803949356079;354747;21.250001907349;0;33.85763168335;0;1740344346;0;0;497116;0;3.4117641187652;96.588229942185;4250.0007372282;0.74601197242737;0;1740344312;0;0;
otapie;58567;58616;33.85232925415;354747;21.304996490479;0;33.857498168945;0;1740344346;0;0;497247;0;3.9896741400934;96.010327967474;4260.9997365899;0.74505299329758;0;1740344312;0;0;
otapie;58567;58614;13.228532791138;354747;21.265001296997;0;33.857597351074;0;1740344346;0;0;497151;0;3.315306262163;96.684695016983;4253.0007622291;0.74502700567245;0;1740344312;0;0;
otapie;58567;58602;33.849594116211;354751;21.289995193481;0;33.858062744141;0;1740344346;0;0;496690;0;3.2409583782814;96.759033814938;4257.999711589;0.74510598182678;0;1740344312;0;0;
otapie;58567;58567;34.231948852539;354743;33.139991760254;0;34.259300231934;0;1740344346;33.313224255132;0;95442;0;2.0217261694126;64.66505902965;6627.9993911767;13.048460006714;0;1740344312;0;0;
otapie;58567;58617;21.646007537842;354743;21.299999237061;0;33.857456207275;0;1740344346;0;0;497286;0;3.0516429912198;96.948344393276;4260.0002744105;0.74503099918365;0;1740344312;0;0;
otapie;58567;58600;33.847881317139;355052;21.299997329712;0;33.858459472656;0;1740344346;0;0;496591;0;3.7089202491681;96.291084042076;4259.9998647948;0.74499601125717;0;1740344312;0;0;
otapie;58567;58620;33.851524353027;354754;21.309997558594;0;33.857341766357;0;1740344346;0;0;497412;0;4.0122009262773;95.987804179502;4262.0000180007;0.74501800537109;0;1740344312;0;0;
otapie;58567;58601;33.850746154785;354743;21.299997329712;0;33.858097076416;0;1740344346;0;0;496647;0;3.4037559061488;96.596247709013;4259.9998647948;0.74499797821045;0;1740344312;0;0;
otapie;58567;58607;33.852252960205;354747;21.299999237061;0;33.85786819458;0;1740344346;0;0;496878;0;3.9436617694428;96.05632464788;4260.0002744105;0.74719899892807;0;1740344312;0;0;
otapie;58567;58618;29.408325195313;354753;21.274993896484;0;33.857425689697;0;1740344346;0;0;497329;0;2.5381907485721;97.461807305407;4254.9992769724;0.69517397880554;0;1740344312;0;0;
otapie;58567;58621;33.850173950195;354753;21.284996032715;0;33.857303619385;0;1740344346;0;0;497451;0;4.9565422678071;95.043458037584;4256.9998397939;0.74580198526382;0;1740344312;0;0;
otapie;58567;58619;33.848152160645;354751;21.299995422363;0;33.85737991333;0;1740344346;0;0;497371;0;3.4741789044165;96.525824250634;4259.9994551792;0.74387902021408;0;1740344312;0;0;
otapie;58567;58606;15.070925712585;354743;21.269998550415;0;33.857902526855;0;1740344346;0;0;496841;0;3.2440054236036;96.756006010777;4254.0002244086;0.74551802873611;0;1740344312;0;0;
