Node;Process;Thread;#max_time_on_cpu_s;#Stop Time US;Time (s);Math (%);#Elapsed Time;String (%);#Stop Time S;Others (%);System (%);#Start Time US;Memory (%);OMP (%);Binary (%);Nb Cycle Events;#max_context_switch_time_s;IO (%);#Start Time S;MPI (%);Pthread (%);
_ALL;_ALL;_ALL;0;952360;5.1550002098083;0;5.1619338989258;0;1740332066;0.021269487160004;0;790426;0;86.363232807796;13.615509635697;32910.996618517;0;0;1740332061;0;0;
otapie;_ALL;_ALL;0;952360;5.1550002098083;0;5.1619338989258;0;1740332066;0.021269487160004;0;790426;0;86.363232807796;13.615509635697;32910.996618517;0;0;1740332061;0;0;
otapie;33306;_ALL;0;952360;5.1550002098083;0;5.1619338989258;0;1740332066;0.021269487160004;0;790426;0;86.363232807796;13.615509635697;32910.996618517;0;0;1740332061;0;0;
otapie;33306;33346;5.1508712768555;952371;5.1399989128113;0;5.1594071388245;0;1740332066;0;0;792964;0;85.116748263447;14.883270822629;1027.9998423961;3.8767881393433;0;1740332061;0;0;
otapie;33306;33354;5.152850151062;952372;5.149998664856;0;5.1590738296509;0;1740332066;0;0;793298;0;86.213607468941;13.786409444098;1029.9998659967;5.152850151062;0;1740332061;0;0;
otapie;33306;33347;5.1536622047424;952370;5.1499981880188;0;5.1593661308289;0;1740332066;0;0;793004;0;86.019439083051;13.980586665161;1029.9997635942;5.1536622047424;0;1740332061;0;0;
otapie;33306;33345;5.149444103241;952367;5.1500000953674;0;5.159441947937;0;1740332066;0;0;792925;0;83.78639878417;16.213591060241;1030.0000708017;5.149444103241;0;1740332061;0;0;
otapie;33306;33348;5.150502204895;952370;5.1500005722046;0;5.1593270301819;0;1740332066;0;0;793043;0;88.543678780551;11.456308481273;1030.0001732043;5.150502204895;0;1740332061;0;0;
otapie;33306;33355;5.1533341407776;952371;5.1349987983704;0;5.159029006958;0;1740332066;0;0;793342;0;90.068175215629;9.9318408704554;1026.9998817971;2.2215640544891;0;1740332061;0;0;
otapie;33306;33349;5.1518921852112;952371;5.1549987792969;0;5.1592860221863;0;1740332066;0;0;793085;0;84.578096359135;15.42192253561;1030.9998265957;5.1518921852112;0;1740332061;0;0;
otapie;33306;33344;5.1522297859192;952366;5.1549983024597;0;5.1594858169556;0;1740332066;0;0;792880;0;85.160066622553;14.839963989266;1030.9997241932;5.1522297859192;0;1740332061;0;0;
