function_id;module;function_name;source_info;inc_time_p;inc_time_s;inc_time_s_min;inc_time_s_avg;inc_time_s_max;inc_cov_deviation;inc_time_deviation;exc_time_p;exc_time_s;exc_time_s_min;exc_time_s_avg;exc_time_s_max;exc_cov_deviation;exc_time_deviation;nb_threads;cats;label_name;flops;
332;libgomp.so.1.0.0;gomp_barrier_wait_end;;65.881072998047;2.9349992275238;0;0;0;0;0;65.881072998047;2.9349992275238;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_barrier_wait_end;;
336;libgomp.so.1.0.0;gomp_team_barrier_wait_end;;10.998885154724;0.48999992012978;0;0;0;0;0;10.998885154724;0.48999992012978;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_team_barrier_wait_end;;
338;libgomp.so.1.0.0;gomp_team_barrier_wait_final;;6.1728434562683;0.2749999165535;0;0;0;0;0;6.1728434562683;0.2749999165535;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_team_barrier_wait_final;;
333;libgomp.so.1.0.0;gomp_barrier_wait;;6.0606093406677;0.26999989151955;0;0;0;0;0;6.0606093406677;0.26999989151955;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_barrier_wait;;
296;libgomp.so.1.0.0;gomp_thread_start;;5.7239098548889;0.25499996542931;0;0;0;0;0;5.7239098548889;0.25499996542931;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_thread_start;;
5;measure_opti_parallel;kernel._omp_fn.0;driver_opti.c:19-25;5.0505094528198;0.22499999403954;0;0;0;0;0;2.8058388233185;0.125;0;0;0;0;0;;"100,0,0,0,0,0,0,0,0,0";kernel._omp_fn.0;;
235;libgomp.so.1.0.0;gomp_ialias_omp_get_num_threads;;0.11223351955414;0.0049999989569187;0;0;0;0;0;0.11223351955414;0.0049999989569187;0;0;0;0;0;;"0,0,100,0,0,0,0,0,0,0";gomp_ialias_omp_get_num_threads;;
