block_id;module;source_info;time_p;time_s;time_s_min;time_s_avg;time_s_max;cov_deviation;time_deviation;nb_threads;flops;
174;measure_opti_parallel;driver_opti.c:22-23;1.8742109537125;0.083777204155922;0.034999992698431;0.083437480032444;0.17999997735023;0.73332232236862;0.032289948314428;32;;
161;measure_opti_parallel;driver_opti.c:19-19;1.8356037139893;0.082051463425159;0.0099999979138374;0.081718735396862;0.14499998092651;0.88887757062912;0.039423447102308;32;;
188;measure_opti_parallel;driver_opti.c:22-22;0.21058550477028;0.0094131696969271;0.0049999984912574;0.010344825685024;0.034999996423721;0.19355620443821;0.008549333550036;29;;
189;measure_opti_parallel;driver_opti.c:25-25;0.15793913602829;0.0070598772726953;0.0049999989569187;0.0086538447067142;0.024999994784594;0.1206221356988;0.0053958659991622;26;;
167;measure_opti_parallel;driver_opti.c:19-19;0.03509758412838;0.0015688615385443;0.0049999984912574;0.0062499986961484;0.0099999979138374;0.052041910588741;0.0023145498707891;8;;
176;measure_opti_parallel;driver_opti.c:22-23;0.028078068047762;0.0012550893006846;0.0049999989569187;0.0066666654311121;0.0099999979138374;0.059288915246725;0.0025819884613156;6;;
169;measure_opti_parallel;driver_opti.c:19-19;0.021058550104499;0.00094131688820198;0.0049999984912574;0.0049999989569187;0.0049999989569187;0.0002305314555997;2.0825005608849e-10;6;;
173;measure_opti_parallel;driver_opti.c:21-22;0.021058550104499;0.00094131688820198;0.0049999989569187;0.0049999989569187;0.0049999989569187;0.00010490888234926;0;6;;
178;measure_opti_parallel;driver_opti.c:22-23;0.014039034023881;0.00062754465034232;0.0049999989569187;0.0049999989569187;0.0049999989569187;0.0006583530921489;0;4;;
170;measure_opti_parallel;driver_opti.c:19-23;0.0070195170119405;0.00031377232517116;0.0049999984912574;0.0049999989569187;0.0049999989569187;0.00026631538639776;4.6566128730774e-10;2;;
177;measure_opti_parallel;driver_opti.c:21-21;0.0070195170119405;0.00031377232517116;0.0049999984912574;0.0049999989569187;0.0049999989569187;1.0536711947395e-08;4.6566128730774e-10;2;;
162;measure_opti_parallel;driver_opti.c:19-19;0.0035097585059702;0.00015688616258558;0.0049999989569187;0.0049999989569187;0.0049999989569187;0;0;1;;
